,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount
2025-03-04,254.735,255.99,248.1,253.21,253.21,8319805.0,0.0
2025-02-28,261.5,263.845,246.54,252.44,252.44,25541761.0,0.0
2025-02-21,261.93,265.09,259.83,261.48,261.48,18534169.0,0.0
2025-02-14,250.86,261.94,246.87,261.28,261.28,19898073.0,1.67
2025-02-07,252.4,265.72,251.84,252.34,250.6607,30149848.0,0.0
2025-01-31,222.19,261.8,219.84,255.7,253.9983,39048997.0,0.0
2025-01-24,224.99,227.45,220.35,224.8,223.304,15594637.0,0.0
2025-01-17,217.89,225.955,214.61,224.79,223.294,18990367.0,0.0
2025-01-10,223.0,226.711,216.8,219.75,218.2876,12337094.0,0.0
2025-01-03,220.54,223.66,217.6,222.65,221.1683,10819153.0,0.0
2024-12-27,222.81,225.4,221.08,222.78,221.2974,9272351.0,0.0
2024-12-20,230.73,231.03,220.03,223.36,221.8735,28267440.0,0.0
2024-12-13,238.0,239.35,227.8,230.82,229.2839,20886084.0,0.0
2024-12-06,227.5,238.38,225.51,238.04,236.4558,18743737.0,0.0
2024-11-29,223.35,230.36,222.65,227.41,225.8966,17274177.0,0.0
2024-11-22,207.0,227.2,205.3701,222.97,221.4861,21386866.0,0.0
2024-11-15,214.4,215.41,204.07,204.99,203.6258,19438346.0,1.67
2024-11-08,207.65,216.7,205.57,213.72,210.6295,15846890.0,0.0
2024-11-01,215.5,216.25,203.51,208.25,205.2386,26467891.0,0.0
2024-10-25,231.21,233.34,214.385,214.67,211.5658,31380820.0,0.0
2024-10-18,233.57,237.37,230.17,232.2,228.8423,18477394.0,0.0
2024-10-11,225.38,235.83,225.02,233.26,229.887,18398213.0,0.0
2024-10-04,220.65,226.08,215.798,226.0,222.7319,17778630.0,0.0
2024-09-27,218.0,224.15,217.27,220.84,217.6466,16300165.0,0.0
2024-09-20,215.88,218.84,210.37,217.7,214.552,28532770.0,0.0
2024-09-13,201.94,216.09,201.43,214.79,211.6841,21518747.0,0.0
2024-09-06,201.91,205.95,199.335,200.74,197.8372,13519865.0,0.0
2024-08-30,196.0,202.17,195.9,202.13,199.2071,15570283.0,0.0
2024-08-23,193.84,197.92,193.715,196.1,193.2643,11022549.0,0.0
2024-08-16,191.25,194.35,189.0001,193.78,190.9779,11330854.0,0.0
2024-08-09,184.55,192.88,181.81,191.45,188.6816,18895865.0,1.67
2024-08-02,193.18,194.5499,185.7,189.12,184.7735,20594367.0,0.0
2024-07-26,183.4,196.26,182.86,191.75,187.343,25458498.0,0.0
2024-07-19,183.38,189.47,181.95,183.25,179.0384,17829469.0,0.0
2024-07-12,176.41,184.16,174.45,182.83,178.628,16071235.0,0.0
2024-07-05,173.45,177.98,173.38,176.02,171.9746,9939255.0,0.0
2024-06-28,175.0,178.4599,170.41,172.95,168.9751,18850478.0,0.0
2024-06-21,168.76,174.96,167.5,172.46,168.4964,21531360.0,0.0
2024-06-14,169.55,172.47,166.81,169.21,165.3211,16222067.0,0.0
2024-06-07,166.54,171.305,163.53,170.01,166.1027,14102396.0,0.0
2024-05-31,170.44,171.085,163.84,166.85,163.0153,15594186.0,0.0
2024-05-24,169.0,175.46,168.38,170.89,166.9625,18410125.0,0.0
2024-05-17,167.5,169.63,166.48,169.03,165.1452,15933303.0,0.0
2024-05-10,166.5,170.26,165.88,167.15,163.3084,17421523.0,1.67
2024-05-03,167.4,168.22,162.62,165.71,160.2916,22536194.0,0.0
2024-04-26,182.45,184.68,165.66,167.13,161.6651,42329269.0,0.0
2024-04-19,185.57,187.48,180.17,181.58,175.6426,16929550.0,0.0
2024-04-12,189.24,191.25,181.685,182.27,176.3101,14955313.0,0.0
2024-04-05,190.0,193.28,187.34,189.14,182.9554,12808073.0,0.0
2024-03-28,190.26,191.9299,188.5,190.96,184.7159,15383298.0,0.0
2024-03-22,191.7,193.98,190.01,190.84,184.5999,23968505.0,0.0
2024-03-15,195.09,199.18,190.7,191.07,184.8223,27466323.0,0.0
2024-03-08,187.76,198.73,187.6,195.95,189.5428,29085296.0,0.0
2024-03-01,185.6,188.38,182.62,188.2,182.0462,21955379.0,0.0
2024-02-23,187.64,188.77,178.75,185.72,179.6473,17487852.0,0.0
2024-02-16,185.9,188.95,182.26,187.64,181.5045,21745006.0,0.0
2024-02-09,185.51,187.18,181.49,186.34,180.247,22784812.0,1.66
2024-02-02,187.46,189.46,182.71,185.79,178.1112,28283876.0,0.0
2024-01-26,172.82,196.9,172.4,187.42,179.6739,56232762.0,0.0
2024-01-19,165.8,171.5791,165.04,171.48,164.3927,19864308.0,0.0
2024-01-12,158.69,165.98,157.885,165.8,158.9474,17643392.0,0.0
2024-01-05,162.83,163.29,158.67,159.16,152.5819,14822074.0,0.0
2023-12-29,162.23,164.18,162.05,163.55,156.7904,9376537.0,0.0
2023-12-22,162.23,163.33,159.53,162.14,155.4387,17686398.0,0.0
2023-12-15,162.68,166.34,160.149,162.23,155.525,33504550.0,0.0
2023-12-08,160.29,162.79,159.97,161.96,155.2661,21918957.0,0.0
2023-12-01,154.99,160.59,154.75,160.55,153.9144,21900644.0,0.0
2023-11-24,152.51,155.705,152.35,155.18,148.7664,11362696.0,0.0
2023-11-17,148.46,153.5,147.35,152.89,146.571,19547595.0,0.0
2023-11-10,147.89,149.68,145.28,149.02,142.861,18357944.0,1.66
2023-11-03,143.19,148.445,142.58,147.9,140.1999,22959464.0,0.0
2023-10-27,136.63,144.7,135.87,142.52,135.1,30227448.0,0.0
2023-10-20,139.28,140.62,136.31,137.16,130.0191,21044049.0,0.0
2023-10-13,142.3,143.415,138.27,138.46,131.2514,16386334.0,0.0
2023-10-06,140.04,142.94,139.86,142.03,134.6355,15932918.0,0.0
2023-09-29,146.57,147.43,139.61,140.3,132.9956,23445425.0,0.0
2023-09-22,145.77,151.9299,144.66,146.91,139.2615,23597168.0,0.0
2023-09-15,148.57,148.78,145.53,145.99,138.3894,19316647.0,0.0
2023-09-08,147.91,149.0,147.12,147.68,139.9914,13719451.0,0.0
2023-09-01,145.41,148.1,145.21,147.94,140.2379,15198607.0,0.0
2023-08-25,141.42,145.47,141.11,145.35,137.7827,15614989.0,0.0
2023-08-18,143.05,143.365,139.76,141.41,134.0478,18826007.0,0.0
2023-08-11,145.0,146.5,142.205,143.12,135.6688,19428470.0,1.66
2023-08-04,143.81,146.09,142.17,144.24,135.1559,24072830.0,0.0
2023-07-28,139.35,143.95,138.7788,143.45,134.4157,24310886.0,0.0
2023-07-21,133.26,140.32,133.1,138.94,130.1897,29295540.0,0.0
2023-07-14,131.76,135.33,131.695,133.4,124.9986,15109770.0,0.0
